source,target,value
Agapornis,MONARCH,1
Anas,MONARCH,1
Antidorcas,MONARCH,1
Bos,MONARCH,1
Canis,MONARCH,1
Capra,MONARCH,1
Columba,MONARCH,1
Coturnix,MONARCH,1
Danio,MONARCH,1
Danio,ZFIN,1
Enhydra,MONARCH,1
Equus,MONARCH,1
Felis,MONARCH,1
Gallus,MONARCH,1
Macaca,MONARCH,1
Meleagris,MONARCH,1
Mesocricetus,MONARCH,1
Mus,MGI,1
Mus,MMRRC,1
Mustela,MONARCH,1
Octodon,MONARCH,1
Orcinus,MONARCH,1
Oryctolagus,MONARCH,1
Ovis,MONARCH,1
Saimiri,MONARCH,1
Sus,MONARCH,1
Tursiops,MONARCH,1
Agapornis,MONARCH,1
Anas,MONARCH,1
Antidorcas,MONARCH,1
Bos,MONARCH,1
Canis,MONARCH,1
Capra,MONARCH,1
Coturnix,MONARCH,1
Danio,ZFIN,1
Equus,MONARCH,1
Felis,MONARCH,1
Gallus,MONARCH,1
Macaca,MONARCH,1
Mesocricetus,MONARCH,1
Mus,MGI,1
Mus,MMRRC,1
Mustela,MONARCH,1
Neovison,MONARCH,1
Oryctolagus,MONARCH,1
Oryzias,MONARCH,1
Ovis,MONARCH,1
Sus,MONARCH,1
Bos,MONARCH,1
Canis,MONARCH,1
Danio,ZFIN,1
Felis,MONARCH,1
Mus,MGI,1
Mus,MMRRC,1
Acinonyx,MONARCH,1
Aspidoscelis,MONARCH,1
Bos,MONARCH,1
Bubalus,MONARCH,1
Callithrix,MONARCH,1
Canis,MONARCH,1
Capra,MONARCH,1
Cavia,MONARCH,1
Cervidae,MONARCH,1
Cervus,MONARCH,1
Chaetodipus,MONARCH,1
Danio,ZFIN,1
Equus,MONARCH,1
Felis,MONARCH,1
Gallus,MONARCH,1
Herpailurus,MONARCH,1
Hippotragus,MONARCH,1
Holbrookia,MONARCH,1
Macaca,MONARCH,1
Macropus,MONARCH,1
Mammuthus,MONARCH,1
Mesocricetus,MONARCH,1
Mus,MGI,1
Mus,MMRRC,1
Mustela,MONARCH,1
Neovison,MONARCH,1
Octodon,MONARCH,1
Odocoileus,MONARCH,1
Orcinus,MONARCH,1
Oryctolagus,MONARCH,1
Oryx,MONARCH,1
Oryzias,MONARCH,1
Ovis,MONARCH,1
Panthera,MONARCH,1
Peromyscus,MONARCH,1
Puma,MONARCH,1
Sciurus,MONARCH,1
Sus,MONARCH,1
Tragelaphus,MONARCH,1
Ursus,MONARCH,1
Vicugna,MONARCH,1
Vulpes,MONARCH,1
Antidorcas,MONARCH,1
Bos,MONARCH,1
Bubalus,MONARCH,1
Canis,MONARCH,1
Capra,MONARCH,1
Danio,ZFIN,1
Enhydra,MONARCH,1
Equus,MONARCH,1
Felis,MONARCH,1
Gallus,MONARCH,1
Meleagris,MONARCH,1
Mesocricetus,MONARCH,1
Mus,MGI,1
Mus,MMRRC,1
Neovison,MONARCH,1
Oryctolagus,MONARCH,1
Ovis,MONARCH,1
Sus,MONARCH,1
Anas,MONARCH,1
Antidorcas,MONARCH,1
Bos,MONARCH,1
Canis,MONARCH,1
Capra,MONARCH,1
Coturnix,MONARCH,1
Danio,ZFIN,1
Equus,MONARCH,1
Felis,MONARCH,1
Gallus,MONARCH,1
Macropus,MONARCH,1
Meleagris,MONARCH,1
Mus,MGI,1
Mus,MMRRC,1
Neovison,MONARCH,1
Octodon,MONARCH,1
Oryctolagus,MONARCH,1
Ovis,MONARCH,1
Sus,MONARCH,1
Bos,CORIELL,1
Canis,CORIELL,1
Bos,CORIELL,1
Canis,CORIELL,1
Bos,CORIELL,1
Canis,CORIELL,1
Bos,CORIELL,1
Canis,CORIELL,1
Bos,CORIELL,1
Canis,CORIELL,1
Bos,CTD,1
Caenorhabditis,CTD,1
Danio,CTD,1
Drosophila,CTD,1
Gallus,CTD,1
Macaca,CTD,1
Mus,CTD,1
Rattus,CTD,1
Sus,CTD,1
Caenorhabditis,CTD,1
Danio,CTD,1
Drosophila,CTD,1
Gallus,CTD,1
Macaca,CTD,1
Mus,CTD,1
Rattus,CTD,1
Sus,CTD,1
Drosophila,CTD,1
Mus,CTD,1
Rattus,CTD,1
Bos,CTD,1
Caenorhabditis,CTD,1
Danio,CTD,1
Drosophila,CTD,1
Gallus,CTD,1
Macaca,CTD,1
Mus,CTD,1
Rattus,CTD,1
Sus,CTD,1
Caenorhabditis,CTD,1
Danio,CTD,1
Drosophila,CTD,1
Gallus,CTD,1
Macaca,CTD,1
Mus,CTD,1
Rattus,CTD,1
Sus,CTD,1
Bos,CTD,1
