"","Original Position","Primary Prefix","Alternate Prefix","Local Identifier","Entity Identifier (e.g., IRI)","Identifier Namespace Path if Different","Identifier Resolution - Computable (y/n)","Identifier Resolution - Human Viewable (y/n)","Different Namespace for Human Readable Pages","Homepage","Description","Title","Source URL"
"1","1","ICO","","","","","","","","","","Informed Consent Ontology",""
"2","2","GEOSPECIES","","","","","","","","","","GeoSpecies Ontology",""
"3","3","TEO","","","","","","","","","","Time Event Ontology",""
"4","4","TMO","","","","","","","","","","Translational Medicine Ontology",""
"5","5","OFSMR","","","","","","","","","","Open Food Safety Model Repository",""
"6","6","MOOCCUADO","","","","","","","","","","Molgula occulta Anatomy and Development Ontology",""
"7","7","HEIO","","","","","","","","","","Regional Healthcare System Interoperability and Information Exchange Measurement Ontology",""
"8","8","IDO","","","","","","","","","","Infectious Disease Ontology",""
"9","9","FB-CV","","","","","","","","","","FlyBase Controlled Vocabulary",""
"10","10","NIFDYS","","","","","","","","","","Neuroscience Information Framework (NIF) Dysfunction Ontlogy",""
"11","11","ONTOAD","","","","","","","","","","Bilingual Ontology of Alzheimer's Disease and Related Diseases",""
"12","12","TMA","","","","","","","","","","Tissue Microarray Ontology",""
"13","13","HIVO004","","","","","","","","","","HIVOntologymain.owl",""
"14","14","SIO","","","","","","","","","","Semanticscience Integrated Ontology",""
"15","15","PSIMOD","","","","","","","","","","Protein Modification Ontology",""
"16","16","RPO","","","","","","","","","","Resource of Asian Primary Immunodeficiency Diseases (RAPID) Phenotype Ontology",""
"17","17","BIRNLEX","","","","","","","","","","Biomedical Informatics Research Network Project Lexicon",""
"18","18","PW","","","","","","","","","","Pathway Ontology",""
"19","19","GBM","","","","","","","","","","Glioblastoma",""
"20","20","OGSF","","","","","","","","","","Ontology for Genetic Susceptibility Factor",""
"21","21","OBOREL","","","","","","","","","","Open Biological and Biomedical Ontologies Relationship Types",""
"22","22","NCRO","","","","","","","","","","Non-coding RNA Ontology",""
"23","23","MOOCCIADO","","","","","","","","","","Molgula occidentalis Anatomy and Development Ontology",""
"24","24","PHENOMEBLAST","","","","","","","","","","PhenomeBLAST Ontology",""
"25","25","OPL","","","","","","","","","","Ontology for Parasite LifeCycle",""
"26","26","BP-METADATA","","","","","","","","","","BioPortal Metadata Ontology",""
"27","27","EDDA","","","","","","","","","","EDDA Study Designs and Publications",""
"28","28","AURA","","","","","","","","","","KB_Bio_101",""
"29","29","GFO-BIO","","","","","","","","","","General Formal Ontology for Biology",""
"30","30","FHHO","","","","","","","","","","Family Health History Ontology",""
"31","31","ONTODM-KDD","","","","","","","","","","Ontology of Data Mining Investigations",""
"32","32","OGMS","","","","","","","","","","Ontology for General Medical Science",""
"33","33","BRO","","","","","","","","","","Biomedical Resource Ontology",""
"34","34","APAONTO","","","","","","","","","","Psychology Ontology",""
"35","35","TRANS","","","","","","","","","","Nurse Transitional",""
"36","36","PTO","","","","","","","","","","Plant Trait Ontology",""
"37","37","MEDO","","","","","","","","","","Mouse Experimental Design Ontology",""
"38","38","GTO_TESTING","","","","","","","","","","Genetic Testing",""
"39","39","COGAT","","","","","","","","","","Cognitive Atlas Ontology",""
"40","40","HL7","","","","","","","","","","Health Level Seven Reference Implementation Model, Version 3",""
"41","41","COGPO","","","","","","","","","","Cognitive Paradigm Ontology",""
"42","42","AAO","","","","","","","","","","Amphibian Gross Anatomy Ontology",""
"43","43","CANONT","","","","","","","","","","Upper-Level Cancer Ontology ",""
"44","44","CCONT","","","","","","","","","","Cell Culture Ontology",""
"45","45","ONTOKBCF","","","","","","","","","","Ontological Knowledge Base Model for Cystic Fibrosis",""
"46","46","EPILONT","","","","","","","","","","Epilepsy Ontology",""
"47","47","EFO","","","","","","","","","","Experimental Factor Ontology",""
"48","48","TM-OTHER-FACTORS","","","","","","","","","","Traditional Medicine Other Factors Value Set",""
"49","49","RB","","","","","","","","","","RegenBase ontology",""
"50","50","APADISORDERS","","","","","","","","","","Disorders cluster",""
