"","Original Position","Primary Prefix","Alternate Prefix","Local Identifier","Entity Identifier (e.g., IRI)","Identifier Namespace Path if Different","Identifier Resolution - Computable (y/n)","Identifier Resolution - Human Viewable (y/n)","Different Namespace for Human Readable Pages","Homepage","Description","Title","Source URL"
"1",1,"acco","","","http://purl.org/acco/ns","http://purl.org/acco/ns#","","","","","","Accomodation Ontology",""
"2",2,"acl","","","http://www.w3.org/ns/auth/acl","http://www.w3.org/ns/auth/acl#","","","","","","Basic Access Control ontology",""
"3",3,"acm","","","http://www.rkbexplorer.com/ontologies/acm","http://acm.rkbexplorer.com/ontologies/acm#","","","","","","ACM Classification Ontology",""
"4",4,"acrt","","","http://privatealpha.com/ontology/certification/1#","http://privatealpha.com/ontology/certification/1#","","","","","","Agent Certification Ontology",""
"5",5,"adms","","","http://www.w3.org/ns/adms","http://www.w3.org/ns/adms#","","","","","","Asset Description Metadata Schema",""
"6",6,"af","","","http://purl.org/ontology/af/","http://purl.org/ontology/af/","","","","","","Audio Features Ontology",""
"7",7,"agls","","","http://www.agls.gov.au/agls/terms","http://www.agls.gov.au/agls/terms/","","","","","","AGLS Metadata Terms",""
"8",8,"agrelon","","","http://d-nb.info/standards/elementset/agrelon.owl#","http://d-nb.info/standards/elementset/agrelon.owl#","","","","","","Agent Relationship Ontology",""
"9",9,"aiiso","","","http://purl.org/vocab/aiiso/schema","http://purl.org/vocab/aiiso/schema#","","","","","","Academic Institution Internal Structure Ontology",""
"10",10,"airs","","","https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#","https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#","","","","","","Alliance of Information and Referral Services (AIRS) Vocabulary",""
"11",11,"akt","","","http://www.aktors.org/ontology/portal","http://www.aktors.org/ontology/portal#","","","","","","AKT Reference Ontology",""
"12",12,"akts","","","http://www.aktors.org/ontology/support","http://www.aktors.org/ontology/support#","","","","","","AKT Support Ontology",""
"13",13,"algo","","","http://securitytoolbox.appspot.com/securityAlgorithms#","http://securitytoolbox.appspot.com/securityAlgorithms#","","","","","","Algorithms Ontology",""
"14",14,"am","","","http://open-services.net/ns/asset#","http://open-services.net/ns/asset#","","","","","","OSLC Asset Management Vocabulary",""
"15",15,"ao","","","http://purl.org/ontology/ao/core#","http://purl.org/ontology/ao/core#","","","","","","Association Ontology",""
"16",16,"aos","","","http://rdf.muninn-project.org/ontologies/appearances","http://rdf.muninn-project.org/ontologies/appearances#","","","","","","Appearances Ontology Specification",""
"17",17,"api","","","http://purl.org/linked-data/api/vocab#","http://purl.org/linked-data/api/vocab#","","","","","","Linked Data API Vocabulary",""
"18",18,"apps4X","","","http://semweb.mmlab.be/ns/apps4X","http://semweb.mmlab.be/ns/apps4X#","","","","","","The vocabulary for Co-creation Events based on Open Data",""
"19",19,"arch","","","http://purl.org/archival/vocab/arch","http://purl.org/archival/vocab/arch#","","","","","","Archival collections ontology",""
"20",20,"awol","","","http://bblfish.net/work/atom-owl/2006-06-06/","http://bblfish.net/work/atom-owl/2006-06-06/#","","","","","","Atom Syndication Ontology",""
"21",21,"aws","","","http://purl.oclc.org/NET/ssnx/meteo/aws","http://purl.oclc.org/NET/ssnx/meteo/aws#","","","","","","Ontology for Meteorological sensors",""
"22",22,"bag","","","http://lod.geodan.nl/vocab/bag","http://lod.geodan.nl/vocab/bag#","","","","","","Vocabulary for the Dutch base registration of buildings and addresses (BAG)",""
"23",23,"basic","","","http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic","http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic#","","","","","","OWL representation of ISO 19103 (Basic types package)",""
"24",24,"bbc","","","http://www.bbc.co.uk/ontologies/bbc","http://www.bbc.co.uk/ontologies/bbc/","","","","","","BBC Ontology",""
"25",25,"bbccms","","","http://www.bbc.co.uk/ontologies/cms","http://www.bbc.co.uk/ontologies/cms/","","","","","","BBC CMS Ontology",""
"26",26,"bbccore","","","http://www.bbc.co.uk/ontologies/coreconcepts","http://www.bbc.co.uk/ontologies/coreconcepts/","","","","","","BBC Core Concepts",""
"27",27,"bbcprov","","","http://www.bbc.co.uk/ontologies/provenance","http://www.bbc.co.uk/ontologies/provenance/","","","","","","BBC Provenance Ontology",""
"28",28,"being","","","http://contextus.net/ontology/ontomedia/ext/common/being#","http://contextus.net/ontology/ontomedia/ext/common/being#","","","","","","OntoMedia Being Representation",""
"29",29,"bevon","","","http://rdfs.co/bevon/","http://rdfs.co/bevon/","","","","","","BEVON: Beverage Ontology",""
"30",30,"bf","","","http://bibframe.org/vocab","http://bibframe.org/vocab/","","","","","","BIBFRAME Vocabulary",""
"31",31,"bibo","","","http://purl.org/ontology/bibo/","http://purl.org/ontology/bibo/","","","","","","The Bibliographic Ontology",""
"32",32,"bibtex","","","http://purl.org/net/nknouf/ns/bibtex","http://purl.org/net/nknouf/ns/bibtex#","","","","","","BibTeX ontology",""
