"","Original Position","Primary Prefix","Alternate Prefix","Local Identifier","Entity Identifier (e.g., IRI)","Identifier Namespace Path if Different","Identifier Resolution - Computable (y/n)","Identifier Resolution - Human Viewable (y/n)","Different Namespace for Human Readable Pages","Homepage","Description","Title","Source URL"
"1",1,"CHEBI","ChEBI","chebi","http://purl.obolibrary.org/obo/chebi.owl","http://purl.obolibrary.org/obo/chebi.owl","","","http://www.ebi.ac.uk/chebi/chebiOntology.do?treeView=true&chebiId=CHEBI:24431#graphView","http://www.ebi.ac.uk/chebi","A structured classification of molecular entities of biological interest focusing on 'small' chemical compounds.","EBI CHEBI Browser",""
"2",2,"DO",NA,"doid","http://purl.obolibrary.org/obo/doid.owl","http://purl.obolibrary.org/obo/doid.owl","","","http://www.disease-ontology.org/","http://diseaseontology.sourceforge.net/","An ontology for describing the classification of human diseases organized by etiology.","DO Browser",""
"3",3,"AmiGO",NA,"go","http://purl.obolibrary.org/obo/go.owl","http://purl.obolibrary.org/obo/go.owl","","","http://amigo.geneontology.org/amigo/term/GO:0008150#display-lineage-tab","","An ontology for describing the function of genes and gene products","Gene Ontology AmiGO 2 Browser",""
"4",4,"BioPortal",NA,"obi","http://purl.obolibrary.org/obo/obi.owl","http://purl.obolibrary.org/obo/obi.owl","","","http://bioportal.bioontology.org/ontologies/OBI?p=classes","http://obi-ontology.org","An integrated ontology for the description of life-science and clinical investigations","BioPortal Browser",""
"5",5,"BioPortal",NA,"pato","http://purl.obolibrary.org/obo/pato.owl","http://purl.obolibrary.org/obo/pato.owl","","","https://bioportal.bioontology.org/ontologies/PATO","https://github.com/pato-ontology/pato/","An ontology of phenotypic qualities (properties, attributes or characteristics)","BioPortal Ontology Browser",""
"6",6,"",NA,"po","http://purl.obolibrary.org/obo/po.owl","http://purl.obolibrary.org/obo/po.owl","","","","http://www.plantontology.org","The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data.","",""
"7",7,"",NA,"pr","http://purl.obolibrary.org/obo/pr.owl","http://purl.obolibrary.org/obo/pr.owl","","","","http://proconsortium.org","an ontological representation of protein-related entities","",""
"8",8,"",NA,"xao","http://purl.obolibrary.org/obo/xao.owl","http://purl.obolibrary.org/obo/xao.owl","","","","http://www.xenbase.org/anatomy/xao.do?method=display","Anatomy and development of the African clawed frog (<i>Xenopus laevis</i>).","",""
"9",9,"",NA,"zfa","http://purl.obolibrary.org/obo/zfa.owl","http://purl.obolibrary.org/obo/zfa.owl","","","","http://zfin.org/zf_info/anatomy/dict/sum.html","A structured controlled vocabulary of the anatomy and development of the Zebrafish","",""
"10",10,"",NA,"aeo","http://purl.obolibrary.org/obo/aeo.owl","http://purl.obolibrary.org/obo/aeo.owl","","","","https://github.com/obophenotype/human-developmental-anatomy-ontology/","AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology","",""
"11",11,"",NA,"aero","http://purl.obolibrary.org/obo/aero.owl","http://purl.obolibrary.org/obo/aero.owl","","","","http://purl.obolibrary.org/obo/aero","The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events","",""
