"","Original Position","Primary Prefix","Alternate Prefix","Local Identifier","Entity Identifier (e.g., IRI)","Identifier Namespace Path if Different","Identifier Resolution - Computable (y/n)","Identifier Resolution - Human Viewable (y/n)","Different Namespace for Human Readable Pages","Homepage","Description","Title","Source URL"
"1","1","http://yago-knowledge.org/resource/","","","yago","yago","","","","","","",""
"2","2","http://www.w3.org/1999/02/22-rdf-syntax-ns#","","","rdf","rdf","","","","","","",""
"3","3","http://xmlns.com/foaf/0.1/","","","foaf","foaf","","","","","","",""
"4","4","http://dbpedia.org/ontology/","","","dbo","dbo","","","","","","",""
"5","5","http://dbpedia.org/property/","","","dbp","dbp","","","","","","",""
"6","6","http://purl.org/dc/elements/1.1/","","","dc","dc","","","","","","",""
"7","7","http://www.w3.org/2002/07/owl#","","","owl","owl","","","","","","",""
"8","8","http://www.w3.org/2000/01/rdf-schema#","","","rdfs","rdfs","","","","","","",""
"9","9","http://purl.org/net/ns/ontology-annot#","","","ont","ont","","","","","","",""
"10","10","http://www.w3.org/2004/02/skos/core#","","","skos","skos","","","","","","",""
"11","11","http://www.w3.org/2003/01/geo/wgs84_pos#","","","geo","geo","","","","","","",""
"12","12","http://www.ontotext.com/","","","onto","onto","","","","","","",""
"13","13","http://purl.org/rss/1.0/","","","rss","rss","","","","","","",""
"14","14","http://www.w3.org/ns/people#","","","gldp","gldp","","","","","","",""
"15","15","http://rdfs.org/sioc/ns#","","","sioc","sioc","","","","","","",""
"16","16","http://rdf.freebase.com/ns/","","","fb","fb","","","","","","",""
"17","17","http://www.geonames.org/ontology#","","","geonames","geonames","","","","","","",""
"18","18","http://purl.org/science/owl/sciencecommons/","","","sc","sc","","","","","","",""
"19","19","http://www.w3.org/2001/XMLSchema#","","","xsd","xsd","","","","","","",""
"20","20","http://www.w3.org/ns/org#","","","org","org","","","","","","",""
"21","21","http://purl.org/goodrelations/v1#","","","gr","gr","","","","","","",""
"22","22","http://purl.org/linked-data/cube#","","","qb","qb","","","","","","",""
"23","23","http://purl.org/dc/terms/","","","dcterms","dcterms","","","","","","",""
"24","24","http://search.yahoo.com/searchmonkey/commerce/","","","commerce","commerce","","","","","","",""
"25","25","http://purl.org/ontology/bibo/","","","bibo","bibo","","","","","","",""
"26","26","http://purl.org/dc/terms/","","","dct","dct","","","","","","",""
"27","27","http://www.w3.org/ns/prov#","","","prov","prov","","","","","","",""
"28","28","http://www.w3.org/ns/md#","","","md","md","","","","","","",""
"29","29","http://dbpedia.org/resource/","","","dbpedia","dbpedia","","","","","","",""
"30","30","http://www.w3.org/ns/sparql-service-description#","","","sd","sd","","","","","","",""
"31","31","http://dbpedia.org/property/","","","dbpprop","dbpprop","","","","","","",""
"32","32","http://www.aktors.org/ontology/portal#","","","akt","akt","","","","","","",""
"33","33","http://rdfs.org/ns/void#","","","void","void","","","","","","",""
"34","34","http://swrc.ontoware.org/ontology#","","","swrc","swrc","","","","","","",""
"35","35","http://purl.org/vocab/vann/","","","vann","vann","","","","","","",""
"36","36","http://www.w3.org/ns/dcat#","","","dcat","dcat","","","","","","",""
"37","37","http://www.productontology.org/id/","","","pto","pto","","","","","","",""
"38","38","http://www.w3.org/2006/vcard/ns#","","","vcard","vcard","","","","","","",""
"39","39","http://purl.org/dc/dcmitype/","","","dcmit","dcmit","","","","","","",""
"40","40","http://yousuck.ca/","","","content","content","","","","","","",""
"41","41","http://usefulinc.com/ns/doap#","","","doap","doap","","","","","","",""
"42","42","http://example.org/","","","ex","ex","","","","","","",""
"43","43","http://sw.opencyc.org/concept/","","","cyc","cyc","","","","","","",""
"44","44","http://www.w3.org/1999/xhtml#","","","xhtml","xhtml","","","","","","",""
"45","45","http://purl.org/vocab/aiiso/schema#","","","aiiso","aiiso","","","","","","",""
"46","46","http://www.w3.org/2011/http#","","","http","http","","","","","","",""
"47","47","http://xmlns.com/wot/0.1/","","","wot","wot","","","","","","",""
"48","48","http://creativecommons.org/ns#","","","cc","cc","","","","","","",""
"49","49","http://purl.org/dc/elements/1.1/","","","dc11","dc11","","","","","","",""
"50","50","http://www.semanticdesktop.org/ontologies/2007/01/19/nie#","","","nie","nie","","","","","","",""
"51","51","http://www.w3.org/2006/gen/ont#","","","gen","gen","","","","","","",""
"52","52","http://purl.org/ontology/mo/","","","mo","mo","","","","","","",""
"53","53","http://www.rdfabout.com/rdf/schema/usbill/","","","bill","bill","","","","","","",""
"54","54","http://purl.org/vocab/relationship/","","","rel","rel","","","","","","",""
"55","55","http://this.invalid/test2#","","","test2","test2","","","","","","",""
"56","56","http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#","","","d2rq","d2rq","","","","","","",""
"57","57","http://purl.org/NET/c4dm/event.owl#","","","event","event","","","","","","",""
"58","58","http://purl.org/vocab/bio/0.1/","","","bio","bio","","","","","","",""
"59","59","http://schemas.talis.com/2005/address/schema#","","","ad","ad","","","","","","",""
"60","60","http://rdfs.org/resume-rdf/","","","cv","cv","","","","","","",""
"61","61","http://www.w3.org/ns/r2rml#","","","rr","rr","","","","","","",""
"62","62","http://www.w3.org/2002/12/cal/ical#","","","ical","ical","","","","","","",""
"63","63","http://www.w3.org/ns/earl#","","","earl","earl","","","","","","",""
"64","64","http://webns.net/mvcb/","","","admin","admin","","","","","","",""
"65","65","http://data.semanticweb.org/ns/swc/ontology#","","","swc","swc","","","","","","",""
"66","66","http://opengraphprotocol.org/schema/","","","og","og","","","","","","",""
"67","67","http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#","","","factbook","factbook","","","","","","",""
"68","68","http://dig.csail.mit.edu/TAMI/2007/amord/air#","","","air","air","","","","","","",""
"69","69","http://www.w3.org/2005/xpath-functions#","","","fn","fn","","","","","","",""
"70","70","http://www.w3.org/2000/10/swap/log#","","","log","log","","","","","","",""
"71","71","http://purl.org/microformat/hmedia/","","","media","media","","","","","","",""
"72","72","http://purl.org/NET/book/vocab#","","","book","book","","","","","","",""
"73","73","http://purl.org/ontology/daia/","","","daia","daia","","","","","","",""
"74","74","http://rhizomik.net/ontologies/copyrightonto.owl#","","","co","co","","","","","","",""
"75","75","http://www.holygoat.co.uk/owl/redwood/0.1/tags/","","","tag","tag","","","","","","",""
"76","76","http://commontag.org/ns#","","","ctag","ctag","","","","","","",""
"77","77","http://www.w3.org/ns/ma-ont#","","","ma","ma","","","","","","",""
"78","78","http://purl.org/NET/biol/botany#","","","botany","botany","","","","","","",""
"79","79","http://rdf.data-vocabulary.org/#","","","dv","dv","","","","","","",""
"80","80","http://ontologi.es/days#","","","days","days","","","","","","",""
"81","81","http://purl.org/net/biblio#","","","biblio","biblio","","","","","","",""
"82","82","http://dbpedia.org/resource/","","","dbr","dbr","","","","","","",""
"83","83","http://purl.org/ontology/similarity/","","","musim","musim","","","","","","",""
"84","84","http://schemas.talis.com/2005/dir/schema#","","","dir","dir","","","","","","",""
"85","85","http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#","","","osag","osag","","","","","","",""
"86","86","http://purl.org/dc/qualifiers/1.0/","","","dcq","dcq","","","","","","",""
"87","87","http://purl.org/vocab/changeset/schema#","","","cs","cs","","","","","","",""
"88","88","http://purl.org/openorg/","","","oo","oo","","","","","","",""
"89","89","http://purl.org/ontomedia/core/expression#","","","ome","ome","","","","","","",""
"90","90","http://www.w3.org/2006/timezone#","","","tzont","tzont","","","","","","",""
"91","91","http://jena.hpl.hp.com/ARQ/function#","","","afn","afn","","","","","","",""
"92","92","http://purl.org/ontology/af/","","","af","af","","","","","","",""
"93","93","http://purl.org/cld/terms/","","","cld","cld","","","","","","",""
"94","94","http://purl.org/procurement/public-contracts#","","","pc","pc","","","","","","",""
"95","95","http://www.w3.org/2002/12/cal/ical#","","","cal","cal","","","","","","",""
"96","96","http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#","","","ir","ir","","","","","","",""
"97","97","http://www.w3.org/2004/03/trix/rdfg-1/","","","rdfg","rdfg","","","","","","",""
"98","98","http://purl.org/reco#","","","reco","reco","","","","","","",""
"99","99","http://www.w3.org/1999/xhtml/vocab#","","","xhv","xhv","","","","","","",""
"100","100","http://purl.org/stuff/rev#","","","rev","rev","","","","","","",""
"101","101","http://schema.org/","","","schema","schema","","","","","","",""
"102","102","http://www.w3.org/2007/rif#","","","rif","rif","","","","","","",""
"103","103","http://www.w3.org/2001/XMLSchema#","","","xs","xs","","","","","","",""
"104","104","http://www.openrdf.org/config/repository/sail#","","","sr","sr","","","","","","",""
"105","105","http://gmpg.org/xfn/11#","","","xfn","xfn","","","","","","",""
"106","106","http://ontologies.smile.deri.ie/2009/02/27/memo#","","","memo","memo","","","","","","",""
"107","107","http://sw.deri.org/2005/08/conf/cfp.owl#","","","cfp","cfp","","","","","","",""
"108","108","http://www.ontologydesignpatterns.org/cp/owl/componency.owl#","","","cmp","cmp","","","","","","",""
"109","109","http://ontologi.es/giving#","","","giving","giving","","","","","","",""
"110","110","http://okkam.org/terms#","","","ok","ok","","","","","","",""
"111","111","http://www.w3.org/2002/xforms/","","","xf","xf","","","","","","",""
"112","112","http://purl.oclc.org/NET/sism/0.1/","","","sism","sism","","","","","","",""
"113","113","http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#","","","lomvoc","lomvoc","","","","","","",""
"114","114","http://purl.org/swan/1.2/discourse-elements/","","","swande","swande","","","","","","",""
"115","115","http://info.deepcarbon.net/schema/type#","","","type","type","","","","","","",""
"116","116","http://purl.org/swan/1.2/qualifiers/","","","swanq","swanq","","","","","","",""
"117","117","http://www.w3.org/2000/10/swap/math#","","","math","math","","","","","","",""
"118","118","http://www.kanzaki.com/ns/music#","","","mu","mu","","","","","","",""
"119","119","http://www.w3.org/2007/uwa/context/deliverycontext.owl#","","","dcn","dcn","","","","","","",""
"120","120","http://www.ontotext.com/trree/owlim#","","","owlim","owlim","","","","","","",""
"121","121","http://purl.org/ontology/myspace#","","","myspace","myspace","","","","","","",""
"122","122","http://d2rq.org/terms/jdbc/","","","jdbc","jdbc","","","","","","",""
"123","123","http://www.w3.org/2000/10/swap/pim/contact#","","","con","con","","","","","","",""
"124","124","http://www.w3.org/2006/time#","","","time","time","","","","","","",""
"125","125","http://www.morelab.deusto.es/ontologies/swrcfe#","","","swrcfe","swrcfe","","","","","","",""
"126","126","http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/","","","drugbank","drugbank","","","","","","",""
"127","127","http://www.w3.org/2003/06/sw-vocab-status/ns#","","","vs","vs","","","","","","",""
"128","128","http://purl.org/vocab/frbr/core#","","","frbr","frbr","","","","","","",""
"129","129","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/","","","spacerel","spacerel","","","","","","",""
"130","130","http://purl.org/vocommons/voaf#","","","voaf","voaf","","","","","","",""
"131","131","http://www.w3.org/ns/auth/cert#","","","cert","cert","","","","","","",""
"132","132","http://umbel.org/umbel/ac/","","","ac","ac","","","","","","",""
"133","133","http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#","","","nfo","nfo","","","","","","",""
"134","134","http://www4.wiwiss.fu-berlin.de/sider/resource/sider/","","","sider","sider","","","","","","",""
