position	originalpos	primaryprefix	altprefixes	localid	iri	resolvingns	humanhtml	homepage	description	title	registry
1	1	acco			http://purl.org/acco/ns	http://purl.org/acco/ns#				Accomodation Ontology	LOV
2	2	acl			http://www.w3.org/ns/auth/acl	http://www.w3.org/ns/auth/acl#				Basic Access Control ontology	LOV
3	3	acm			http://www.rkbexplorer.com/ontologies/acm	http://acm.rkbexplorer.com/ontologies/acm#				ACM Classification Ontology	LOV
4	4	acrt			http://privatealpha.com/ontology/certification/1#	http://privatealpha.com/ontology/certification/1#				Agent Certification Ontology	LOV
5	5	adms			http://www.w3.org/ns/adms	http://www.w3.org/ns/adms#				Asset Description Metadata Schema	LOV
6	6	af			http://purl.org/ontology/af/	http://purl.org/ontology/af/				Audio Features Ontology	LOV
7	7	agls			http://www.agls.gov.au/agls/terms	http://www.agls.gov.au/agls/terms/				AGLS Metadata Terms	LOV
8	8	agrelon			http://d-nb.info/standards/elementset/agrelon.owl#	http://d-nb.info/standards/elementset/agrelon.owl#				Agent Relationship Ontology	LOV
9	9	aiiso			http://purl.org/vocab/aiiso/schema	http://purl.org/vocab/aiiso/schema#				Academic Institution Internal Structure Ontology	LOV
10	10	airs			https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#	https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#				Alliance of Information and Referral Services (AIRS) Vocabulary	LOV
11	11	akt			http://www.aktors.org/ontology/portal	http://www.aktors.org/ontology/portal#				AKT Reference Ontology	LOV
12	12	akts			http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#				AKT Support Ontology	LOV
13	13	algo			http://securitytoolbox.appspot.com/securityAlgorithms#	http://securitytoolbox.appspot.com/securityAlgorithms#				Algorithms Ontology	LOV
14	14	am			http://open-services.net/ns/asset#	http://open-services.net/ns/asset#				OSLC Asset Management Vocabulary	LOV
15	15	ao			http://purl.org/ontology/ao/core#	http://purl.org/ontology/ao/core#				Association Ontology	LOV
16	16	aos			http://rdf.muninn-project.org/ontologies/appearances	http://rdf.muninn-project.org/ontologies/appearances#				Appearances Ontology Specification	LOV
17	17	api			http://purl.org/linked-data/api/vocab#	http://purl.org/linked-data/api/vocab#				Linked Data API Vocabulary	LOV
18	18	apps4X			http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#				The vocabulary for Co-creation Events based on Open Data	LOV
19	19	arch			http://purl.org/archival/vocab/arch	http://purl.org/archival/vocab/arch#				Archival collections ontology	LOV
20	20	awol			http://bblfish.net/work/atom-owl/2006-06-06/	http://bblfish.net/work/atom-owl/2006-06-06/#				Atom Syndication Ontology	LOV
21	21	aws			http://purl.oclc.org/NET/ssnx/meteo/aws	http://purl.oclc.org/NET/ssnx/meteo/aws#				Ontology for Meteorological sensors	LOV
22	22	bag			http://lod.geodan.nl/vocab/bag	http://lod.geodan.nl/vocab/bag#				Vocabulary for the Dutch base registration of buildings and addresses (BAG)	LOV
23	23	basic			http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic	http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic#				OWL representation of ISO 19103 (Basic types package)	LOV
